name,startTime,endTime,type,track,color
Blocking Track,0.003,0.003,Blocking,Scheduler,primary-light
Transition Track,0.003,0.003,Transition,Scheduler,primary-light
Suspense Track,0.003,0.003,Suspense,Scheduler,primary-light
Idle Track,0.003,0.003,Idle,Scheduler,primary-light
Hydrated,555,565.4000000059605,Blocking,Scheduler,tertiary-dark
Commit,565.4000000059605,566.5,Blocking,Scheduler,secondary-dark
,566.5,567.1999999880791,Blocking,Scheduler,secondary-light
Remaining Effects,567.1999999880791,578.8000000119209,Blocking,Scheduler,secondary-dark
Blocking Track,0.003,0.003,Blocking,Scheduler,primary-light
Transition Track,0.003,0.003,Transition,Scheduler,primary-light
Suspense Track,0.003,0.003,Suspense,Scheduler,primary-light
Idle Track,0.003,0.003,Idle,Scheduler,primary-light
Cascading Update,578.8000000119209,579.0999999940395,Blocking,Scheduler,error
Render,579.0999999940395,579.8000000119209,Blocking,Scheduler,primary-dark
Commit,579.8000000119209,580,Blocking,Scheduler,secondary-dark
,580,580.0999999940395,Blocking,Scheduler,secondary-light
Remaining Effects,580.0999999940395,581.5,Blocking,Scheduler,secondary-dark
Blocking Track,0.003,0.003,Blocking,Scheduler,primary-light
Transition Track,0.003,0.003,Transition,Scheduler,primary-light
Suspense Track,0.003,0.003,Suspense,Scheduler,primary-light
Idle Track,0.003,0.003,Idle,Scheduler,primary-light
Cascading Update,581.5,582.8000000119209,Blocking,Scheduler,error
Render,582.8000000119209,583.5,Blocking,Scheduler,primary-dark
Commit,583.5,583.5999999940395,Blocking,Scheduler,secondary-dark
Waiting for Paint,583.5999999940395,583.6999999880791,Blocking,Scheduler,secondary-light
Remaining Effects,583.6999999880791,585.0999999940395,Blocking,Scheduler,secondary-dark
Blocking Track,0.003,0.003,Blocking,Scheduler,primary-light
Transition Track,0.003,0.003,Transition,Scheduler,primary-light
Suspense Track,0.003,0.003,Suspense,Scheduler,primary-light
Idle Track,0.003,0.003,Idle,Scheduler,primary-light
Prepared,585.3000000119209,622.5,Idle,Scheduler,tertiary-dark
Commit,622.5,622.8000000119209,Idle,Scheduler,secondary-dark
Waiting for Paint,622.8000000119209,624.6999999880791,Idle,Scheduler,secondary-light
Remaining Effects,624.6999999880791,655.5999999940395,Idle,Scheduler,secondary-dark
Blocking Track,0.003,0.003,Blocking,Scheduler,primary-light
Transition Track,0.003,0.003,Transition,Scheduler,primary-light
Suspense Track,0.003,0.003,Suspense,Scheduler,primary-light
Idle Track,0.003,0.003,Idle,Scheduler,primary-light
Commit,662.3000000119209,662.5,Blocking,Scheduler,secondary-dark
Waiting for Paint,662.5,664.6999999880791,Blocking,Scheduler,secondary-light
Remaining Effects,664.6999999880791,665.0999999940395,Blocking,Scheduler,secondary-dark
Blocking Track,0.003,0.003,Blocking,Scheduler,primary-light
Transition Track,0.003,0.003,Transition,Scheduler,primary-light
Suspense Track,0.003,0.003,Suspense,Scheduler,primary-light
Idle Track,0.003,0.003,Idle,Scheduler,primary-light
Update,665.0999999940395,665.6999999880791,Blocking,Scheduler,primary-light
Render,665.6999999880791,666.3000000119209,Blocking,Scheduler,primary-dark
Commit,666.3000000119209,666.5999999940395,Blocking,Scheduler,secondary-dark
,666.5999999940395,666.6999999880791,Blocking,Scheduler,secondary-light
Remaining Effects,666.6999999880791,667.6999999880791,Blocking,Scheduler,secondary-dark
Blocking Track,0.003,0.003,Blocking,Scheduler,primary-light
Transition Track,0.003,0.003,Transition,Scheduler,primary-light
Suspense Track,0.003,0.003,Suspense,Scheduler,primary-light
Idle Track,0.003,0.003,Idle,Scheduler,primary-light
Cascading Update,667.6999999880791,668.0999999940395,Blocking,Scheduler,error
Render,668.0999999940395,668.6999999880791,Blocking,Scheduler,primary-dark
Commit,668.6999999880791,669.1999999880791,Blocking,Scheduler,secondary-dark
,669.1999999880791,669.3000000119209,Blocking,Scheduler,secondary-light
Remaining Effects,669.3000000119209,670.5,Blocking,Scheduler,secondary-dark
Blocking Track,0.003,0.003,Blocking,Scheduler,primary-light
Transition Track,0.003,0.003,Transition,Scheduler,primary-light
Suspense Track,0.003,0.003,Suspense,Scheduler,primary-light
Idle Track,0.003,0.003,Idle,Scheduler,primary-light
Update,670.5999999940395,671.0999999940395,Blocking,Scheduler,primary-light
Render,671.0999999940395,674.8000000119209,Blocking,Scheduler,primary-dark
Commit,674.8000000119209,675,Blocking,Scheduler,secondary-dark
,675,675.0999999940395,Blocking,Scheduler,secondary-light
Remaining Effects,675.0999999940395,679.9000000059605,Blocking,Scheduler,secondary-dark
Blocking Track,0.003,0.003,Blocking,Scheduler,primary-light
Transition Track,0.003,0.003,Transition,Scheduler,primary-light
Suspense Track,0.003,0.003,Suspense,Scheduler,primary-light
Idle Track,0.003,0.003,Idle,Scheduler,primary-light
Cascading Update,679.9000000059605,680.0999999940395,Blocking,Scheduler,error
Render,680.0999999940395,681.0999999940395,Blocking,Scheduler,primary-dark
Commit,681.0999999940395,681.3000000119209,Blocking,Scheduler,secondary-dark
,681.3000000119209,681.4000000059605,Blocking,Scheduler,secondary-light
Remaining Effects,681.4000000059605,685.8000000119209,Blocking,Scheduler,secondary-dark
Blocking Track,0.003,0.003,Blocking,Scheduler,primary-light
Transition Track,0.003,0.003,Transition,Scheduler,primary-light
Suspense Track,0.003,0.003,Suspense,Scheduler,primary-light
Idle Track,0.003,0.003,Idle,Scheduler,primary-light
Render,687.3000000119209,707.3000000119209,Suspense,Scheduler,primary-dark
Commit,707.3000000119209,707.9000000059605,Suspense,Scheduler,secondary-dark
Waiting for Paint,707.9000000059605,708.3000000119209,Suspense,Scheduler,secondary-light
Remaining Effects,708.3000000119209,711.0999999940395,Suspense,Scheduler,secondary-dark
Blocking Track,0.003,0.003,Blocking,Scheduler,primary-light
Transition Track,0.003,0.003,Transition,Scheduler,primary-light
Suspense Track,0.003,0.003,Suspense,Scheduler,primary-light
Idle Track,0.003,0.003,Idle,Scheduler,primary-light
Blocking Track,0.003,0.003,Blocking,Scheduler,primary-light
Transition Track,0.003,0.003,Transition,Scheduler,primary-light
Suspense Track,0.003,0.003,Suspense,Scheduler,primary-light
Idle Track,0.003,0.003,Idle,Scheduler,primary-light
Render,913.5999999940395,915.5,Suspense,Scheduler,primary-dark
Throttled,915.5,1008.6999999880791,Suspense,Scheduler,secondary-light
Commit,1008.6999999880791,1009.3000000119209,Suspense,Scheduler,secondary-dark
Waiting for Paint,1009.3000000119209,1009.6999999880791,Suspense,Scheduler,secondary-light
Remaining Effects,1009.6999999880791,1013.4000000059605,Suspense,Scheduler,secondary-dark
Blocking Track,0.003,0.003,Blocking,Scheduler,primary-light
Transition Track,0.003,0.003,Transition,Scheduler,primary-light
Suspense Track,0.003,0.003,Suspense,Scheduler,primary-light
Idle Track,0.003,0.003,Idle,Scheduler,primary-light
Render,1016,1016.3000000119209,Suspense,Scheduler,primary-dark
Throttled,1016.3000000119209,1310.5,Suspense,Scheduler,secondary-light
Commit,1310.5,1310.5999999940395,Suspense,Scheduler,secondary-dark
Waiting for Paint,1310.5999999940395,1310.9000000059605,Suspense,Scheduler,secondary-light
Remaining Effects,1310.9000000059605,1311,Suspense,Scheduler,secondary-dark
Blocking Track,0.003,0.003,Blocking,Scheduler,primary-light
Transition Track,0.003,0.003,Transition,Scheduler,primary-light
Suspense Track,0.003,0.003,Suspense,Scheduler,primary-light
Idle Track,0.003,0.003,Idle,Scheduler,primary-light
Render,1916.800000011921,1938.9000000059605,Suspense,Scheduler,primary-dark
Commit,1938.9000000059605,1940.800000011921,Suspense,Scheduler,secondary-dark
Waiting for Paint,1940.800000011921,1942.0999999940395,Suspense,Scheduler,secondary-light
Remaining Effects,1942.0999999940395,1994.4000000059605,Suspense,Scheduler,secondary-dark
Blocking Track,0.003,0.003,Blocking,Scheduler,primary-light
Transition Track,0.003,0.003,Transition,Scheduler,primary-light
Suspense Track,0.003,0.003,Suspense,Scheduler,primary-light
Idle Track,0.003,0.003,Idle,Scheduler,primary-light
Update Blocked,913.3000000119209,12183.90000000596,Blocking,Scheduler,primary-light
Render,12183.90000000596,12184.199999988079,Blocking,Scheduler,primary-dark
Commit,12184.199999988079,12184.40000000596,Blocking,Scheduler,secondary-dark
,12184.40000000596,12184.5,Blocking,Scheduler,secondary-light
Remaining Effects,12184.5,12184.699999988079,Blocking,Scheduler,secondary-dark
Blocking Track,0.003,0.003,Blocking,Scheduler,primary-light
Transition Track,0.003,0.003,Transition,Scheduler,primary-light
Suspense Track,0.003,0.003,Suspense,Scheduler,primary-light
Idle Track,0.003,0.003,Idle,Scheduler,primary-light
Update,13155.800000011921,13156.300000011921,Blocking,Scheduler,primary-light
Render,13156.300000011921,13157.800000011921,Blocking,Scheduler,primary-dark
Commit,13157.800000011921,13158.90000000596,Blocking,Scheduler,secondary-dark
,13158.90000000596,13159.199999988079,Blocking,Scheduler,secondary-light
Remaining Effects,13159.199999988079,13161.59999999404,Blocking,Scheduler,secondary-dark
Blocking Track,0.003,0.003,Blocking,Scheduler,primary-light
Transition Track,0.003,0.003,Transition,Scheduler,primary-light
Suspense Track,0.003,0.003,Suspense,Scheduler,primary-light
Idle Track,0.003,0.003,Idle,Scheduler,primary-light
Cascading Update,13161.59999999404,13162,Blocking,Scheduler,error
Render,13162,13162.09999999404,Blocking,Scheduler,primary-dark
Commit,13162.09999999404,13162.199999988079,Blocking,Scheduler,secondary-dark
Blocking Track,0.003,0.003,Blocking,Scheduler,primary-light
Transition Track,0.003,0.003,Transition,Scheduler,primary-light
Suspense Track,0.003,0.003,Suspense,Scheduler,primary-light
Idle Track,0.003,0.003,Idle,Scheduler,primary-light
Event: click,14595.90000000596,14599.5,Transition,Scheduler,warning
Update,14599.5,14602.09999999404,Transition,Scheduler,primary-light
Prewarm,14602.09999999404,14605.09999999404,Transition,Scheduler,primary-dark
Blocking Track,0.003,0.003,Blocking,Scheduler,primary-light
Transition Track,0.003,0.003,Transition,Scheduler,primary-light
Suspense Track,0.003,0.003,Suspense,Scheduler,primary-light
Idle Track,0.003,0.003,Idle,Scheduler,primary-light
Suspended,14605.09999999404,14698.09999999404,Transition,Scheduler,primary-dark
,14698.09999999404,14698.09999999404,Transition,Scheduler,secondary-light
Update,14698.09999999404,14698.59999999404,Transition,Scheduler,primary-light
Render,14698.59999999404,14707.800000011921,Transition,Scheduler,primary-dark
Commit,14707.800000011921,14712.300000011921,Transition,Scheduler,secondary-dark
,14712.300000011921,14712.59999999404,Transition,Scheduler,secondary-light
Remaining Effects,14712.59999999404,14740.09999999404,Transition,Scheduler,secondary-dark
Blocking Track,0.003,0.003,Blocking,Scheduler,primary-light
Transition Track,0.003,0.003,Transition,Scheduler,primary-light
Suspense Track,0.003,0.003,Suspense,Scheduler,primary-light
Idle Track,0.003,0.003,Idle,Scheduler,primary-light
Event: focusin,14710.800000011921,14711.5,Blocking,Scheduler,warning
Cascading Update,14711.5,14740.699999988079,Blocking,Scheduler,error
Render,14740.699999988079,14745.09999999404,Blocking,Scheduler,primary-dark
Commit,14745.09999999404,14745.59999999404,Blocking,Scheduler,secondary-dark
,14745.59999999404,14745.59999999404,Blocking,Scheduler,secondary-light
Remaining Effects,14745.59999999404,14747.800000011921,Blocking,Scheduler,secondary-dark
Blocking Track,0.003,0.003,Blocking,Scheduler,primary-light
Transition Track,0.003,0.003,Transition,Scheduler,primary-light
Suspense Track,0.003,0.003,Suspense,Scheduler,primary-light
Idle Track,0.003,0.003,Idle,Scheduler,primary-light
Update,14748.40000000596,14753.09999999404,Blocking,Scheduler,primary-light
Render,14753.09999999404,14755.300000011921,Blocking,Scheduler,primary-dark
Commit,14755.300000011921,14755.59999999404,Blocking,Scheduler,secondary-dark
Waiting for Paint,14755.59999999404,14755.800000011921,Blocking,Scheduler,secondary-light
Remaining Effects,14755.800000011921,14757.300000011921,Blocking,Scheduler,secondary-dark
Blocking Track,0.003,0.003,Blocking,Scheduler,primary-light
Transition Track,0.003,0.003,Transition,Scheduler,primary-light
Suspense Track,0.003,0.003,Suspense,Scheduler,primary-light
Idle Track,0.003,0.003,Idle,Scheduler,primary-light
Event: input,15478.199999988079,15478.90000000596,Blocking,Scheduler,warning
Update,15478.90000000596,15480.800000011921,Blocking,Scheduler,primary-light
Render,15480.800000011921,15484.5,Blocking,Scheduler,primary-dark
Commit,15484.5,15485,Blocking,Scheduler,secondary-dark
,15485,15485.09999999404,Blocking,Scheduler,secondary-light
Remaining Effects,15485.09999999404,15488.09999999404,Blocking,Scheduler,secondary-dark
Blocking Track,0.003,0.003,Blocking,Scheduler,primary-light
Transition Track,0.003,0.003,Transition,Scheduler,primary-light
Suspense Track,0.003,0.003,Suspense,Scheduler,primary-light
Idle Track,0.003,0.003,Idle,Scheduler,primary-light
Event: load,15601.800000011921,15602.800000011921,Blocking,Scheduler,warning
Update,15602.800000011921,15604.40000000596,Blocking,Scheduler,primary-light
Render,15604.40000000596,15626.59999999404,Blocking,Scheduler,primary-dark
Commit,15626.59999999404,15627.300000011921,Blocking,Scheduler,secondary-dark
Waiting for Paint,15627.300000011921,15634,Blocking,Scheduler,secondary-light
Remaining Effects,15634,15681.59999999404,Blocking,Scheduler,secondary-dark
Blocking Track,0.003,0.003,Blocking,Scheduler,primary-light
Transition Track,0.003,0.003,Transition,Scheduler,primary-light
Suspense Track,0.003,0.003,Suspense,Scheduler,primary-light
Idle Track,0.003,0.003,Idle,Scheduler,primary-light
Update,15682.199999988079,15682.40000000596,Blocking,Scheduler,primary-light
Render,15682.40000000596,15683.40000000596,Blocking,Scheduler,primary-dark
Commit,15683.40000000596,15683.59999999404,Blocking,Scheduler,secondary-dark
Waiting for Paint,15683.59999999404,15683.699999988079,Blocking,Scheduler,secondary-light
Remaining Effects,15683.699999988079,15686.09999999404,Blocking,Scheduler,secondary-dark
Blocking Track,0.003,0.003,Blocking,Scheduler,primary-light
Transition Track,0.003,0.003,Transition,Scheduler,primary-light
Suspense Track,0.003,0.003,Suspense,Scheduler,primary-light
Idle Track,0.003,0.003,Idle,Scheduler,primary-light
Event: input,15791.5,15791.699999988079,Blocking,Scheduler,warning
Update,15791.699999988079,15792.40000000596,Blocking,Scheduler,primary-light
Render,15792.40000000596,15795.59999999404,Blocking,Scheduler,primary-dark
Commit,15795.59999999404,15795.90000000596,Blocking,Scheduler,secondary-dark
,15795.90000000596,15796,Blocking,Scheduler,secondary-light
Remaining Effects,15796,15797.59999999404,Blocking,Scheduler,secondary-dark
Blocking Track,0.003,0.003,Blocking,Scheduler,primary-light
Transition Track,0.003,0.003,Transition,Scheduler,primary-light
Suspense Track,0.003,0.003,Suspense,Scheduler,primary-light
Idle Track,0.003,0.003,Idle,Scheduler,primary-light
Event: load,15838,15838.40000000596,Blocking,Scheduler,warning
