name,startTime,endTime,type,track,color
Blocking Track,0.003,0.003,Blocking,Scheduler ⚛,primary-light
Transition Track,0.003,0.003,Transition,Scheduler ⚛,primary-light
Suspense Track,0.003,0.003,Suspense,Scheduler ⚛,primary-light
Idle Track,0.003,0.003,Idle,Scheduler ⚛,primary-light
Hydrated,803.1999999992549,818.6999999992549,Blocking,Scheduler ⚛,tertiary-dark
img,820,820.0999999996275,Components ⚛,,secondary-light
Presence,820.5,820.6999999992549,Components ⚛,,secondary-light
Root,819.8999999985099,821,Components ⚛,,secondary-light
Commit,818.6999999992549,821.1999999992549,Blocking,Scheduler ⚛,secondary-dark
,821.1999999992549,822.3999999985099,Blocking,Scheduler ⚛,secondary-light
Root,804.0999999996275,818.6999999992549,Components ⚛,,tertiary-light
Head,804.5,805.0999999996275,Components ⚛,,tertiary
AppContainer,805.0999999996275,818.6999999992549,Components ⚛,,tertiary
Container,806.0999999996275,818.6999999992549,Components ⚛,,tertiary
ReactDevOverlay,806.6999999992549,818.6999999992549,Components ⚛,,tertiary-light
ErrorBoundary,807,818.6999999992549,Components ⚛,,tertiary-light
PathnameContextProviderAdapter,807.0999999996275,818.6999999992549,Components ⚛,,tertiary-light
MyApp,807.2999999988824,818.6999999992549,Components ⚛,,tertiary-light
Layout,807.5,818.6999999992549,Components ⚛,,tertiary-light
Page,807.6999999992549,818.6999999992549,Components ⚛,,tertiary
withRouter(_c),808.3999999985099,809.1999999992549,Components ⚛,,tertiary-light
_c,808.5,809.1999999992549,Components ⚛,,tertiary
Head,809.0999999996275,809.1999999992549,Components ⚛,,tertiary-light
SideEffect,809.1999999992549,809.1999999992549,Components ⚛,,tertiary-light
SideEffect,824,825,Components ⚛,,secondary
Head,809.1999999992549,809.2999999988824,Components ⚛,,tertiary-light
SideEffect,809.2999999988824,809.2999999988824,Components ⚛,,tertiary-light
SocialBanner,809.2999999988824,810.5,Components ⚛,,tertiary-light
ExternalLink,810.1999999992549,810.5,Components ⚛,,tertiary-light
TopNav,810.5,818.5,Components ⚛,,tertiary
Search,811.5,811.6999999992549,Components ⚛,,tertiary-light
Head,811.6999999992549,811.6999999992549,Components ⚛,,tertiary-light
SideEffect,811.6999999992549,811.6999999992549,Components ⚛,,tertiary-light
IconHamburger,812,812.2999999988824,Components ⚛,,tertiary-light
BrandMenu,812.2999999988824,816.7999999988824,Components ⚛,,tertiary
ContextMenu,812.8999999985099,816.7999999988824,Components ⚛,,tertiary-light
ContextMenuProvider,813.1999999992549,816.7999999988824,Components ⚛,,tertiary-light
Menu,813.2999999988824,816.7999999988824,Components ⚛,,tertiary-light
Popper,813.5999999996275,816.7999999988824,Components ⚛,,tertiary-light
PopperProvider,813.5999999996275,816.7999999988824,Components ⚛,,tertiary-light
MenuProvider,813.5999999996275,816.7999999988824,Components ⚛,,tertiary-light
MenuProvider,813.5999999996275,816.7999999988824,Components ⚛,,tertiary-light
ContextMenuTrigger,813.6999999992549,816.3999999985099,Components ⚛,,tertiary-light
MenuAnchor,814,814.0999999996275,Components ⚛,,tertiary-light
PopperAnchor,814,814.0999999996275,Components ⚛,,tertiary-light
PopperAnchor,827.1999999992549,827.2999999988824,Components ⚛,,secondary-light
Primitive.span,814.0999999996275,816.3999999985099,Components ⚛,,tertiary-light
ForwardRef(LinkComponent),814.1999999992549,816.0999999996275,Components ⚛,,tertiary
ForwardRef,814.8999999985099,816.0999999996275,Components ⚛,,tertiary
ForwardRef,815.6999999992549,815.8999999985099,Components ⚛,,tertiary-light
ImagePreload,815.8999999985099,816.0999999996275,Components ⚛,,tertiary-light
Head,816,816.0999999996275,Components ⚛,,tertiary-light
SideEffect,816,816.0999999996275,Components ⚛,,tertiary-light
ForwardRef(LinkComponent),816.0999999996275,816.3999999985099,Components ⚛,,tertiary-light
Logo,816.1999999992549,816.3999999985099,Components ⚛,,tertiary-light
ContextMenuPortal,816.3999999985099,816.7999999988824,Components ⚛,,tertiary-light
MenuPortal,816.5999999996275,816.7999999988824,Components ⚛,,tertiary-light
MenuPortalProvider,816.6999999992549,816.7999999988824,Components ⚛,,tertiary-light
Presence,816.6999999992549,816.7999999988824,Components ⚛,,tertiary-light
ForwardRef(LinkComponent),816.7999999988824,817,Components ⚛,,tertiary-light
IconSearch,817,817.0999999996275,Components ⚛,,tertiary-light
Kbd,817.0999999996275,817.1999999992549,Components ⚛,,tertiary-light
Kbd,817.1999999992549,817.1999999992549,Components ⚛,,tertiary-light
Kbd,817.1999999992549,817.2999999988824,Components ⚛,,tertiary-light
NavItem,817.2999999988824,817.5,Components ⚛,,tertiary-light
Link,817.2999999988824,817.5,Components ⚛,,tertiary-light
ForwardRef(LinkComponent),817.3999999985099,817.5,Components ⚛,,tertiary-light
NavItem,817.5,817.6999999992549,Components ⚛,,tertiary-light
Link,817.5,817.6999999992549,Components ⚛,,tertiary-light
ForwardRef(LinkComponent),817.5,817.6999999992549,Components ⚛,,tertiary-light
NavItem,817.6999999992549,817.6999999992549,Components ⚛,,tertiary-light
Link,817.6999999992549,817.6999999992549,Components ⚛,,tertiary-light
ForwardRef(LinkComponent),817.6999999992549,817.6999999992549,Components ⚛,,tertiary-light
NavItem,817.6999999992549,817.8999999985099,Components ⚛,,tertiary-light
Link,817.7999999988824,817.8999999985099,Components ⚛,,tertiary-light
ForwardRef(LinkComponent),817.7999999988824,817.8999999985099,Components ⚛,,tertiary-light
Link,818.1999999992549,818.2999999988824,Components ⚛,,tertiary-light
ForwardRef(LinkComponent),818.1999999992549,818.2999999988824,Components ⚛,,tertiary-light
Link,818.2999999988824,818.5,Components ⚛,,tertiary-light
ForwardRef(LinkComponent),818.2999999988824,818.5,Components ⚛,,tertiary-light
MyApp,824,832.0999999996275,Components ⚛,,secondary-light
Portal,818.6999999992549,818.6999999992549,Components ⚛,,tertiary-light
Portal,832.1999999992549,832.2999999988824,Components ⚛,,secondary-light
Remaining Effects,822.3999999985099,832.2999999988824,Blocking,Scheduler ⚛,secondary-dark
Blocking Track,0.003,0.003,Blocking,Scheduler ⚛,primary-light
Transition Track,0.003,0.003,Transition,Scheduler ⚛,primary-light
Suspense Track,0.003,0.003,Suspense,Scheduler ⚛,primary-light
Idle Track,0.003,0.003,Idle,Scheduler ⚛,primary-light
Cascading Update,832.2999999988824,832.6999999992549,Blocking,Scheduler ⚛,error
Render,832.6999999992549,834.0999999996275,Blocking,Scheduler ⚛,primary-dark
Commit,834.0999999996275,834.2999999988824,Blocking,Scheduler ⚛,secondary-dark
,834.2999999988824,834.6999999992549,Blocking,Scheduler ⚛,secondary-light
Popper,832.8999999985099,833.2999999988824,Components ⚛,,primary-light
PopperProvider,833.0999999996275,833.2999999988824,Components ⚛,,primary-light
PopperAnchor,833.0999999996275,833.1999999992549,Components ⚛,,primary-light
Portal,833.2999999988824,834.0999999996275,Components ⚛,,primary-light
RouteAnnouncer,833.3999999985099,834.0999999996275,Components ⚛,,primary-light
Mount,833.2999999988824,834.0999999996275,Components ⚛,,warning
RouteAnnouncer,833.3999999985099,0,Components ⚛,,primary-light
Remaining Effects,834.6999999992549,836.0999999996275,Blocking,Scheduler ⚛,secondary-dark
Blocking Track,0.003,0.003,Blocking,Scheduler ⚛,primary-light
Transition Track,0.003,0.003,Transition,Scheduler ⚛,primary-light
Suspense Track,0.003,0.003,Suspense,Scheduler ⚛,primary-light
Idle Track,0.003,0.003,Idle,Scheduler ⚛,primary-light
Cascading Update,836.0999999996275,839.5,Blocking,Scheduler ⚛,error
Render,839.5,840.5999999996275,Blocking,Scheduler ⚛,primary-dark
Commit,840.5999999996275,841,Blocking,Scheduler ⚛,secondary-dark
Waiting for Paint,841,867.5999999996275,Blocking,Scheduler ⚛,secondary-light
ForwardRef(LinkComponent),867.6999999992549,867.7999999988824,Components ⚛,,secondary-light
ReactDevOverlay,839.5,840.5999999996275,Components ⚛,,primary-light
ForwardRef(LinkComponent),839.8999999985099,840,Components ⚛,,primary-light
ForwardRef(LinkComponent),840,840.0999999996275,Components ⚛,,primary-light
ForwardRef(LinkComponent),840.0999999996275,840.1999999992549,Components ⚛,,primary-light
ForwardRef(LinkComponent),840.1999999992549,840.2999999988824,Components ⚛,,primary-light
ForwardRef(LinkComponent),840.2999999988824,840.3999999985099,Components ⚛,,primary-light
ForwardRef(LinkComponent),840.3999999985099,840.3999999985099,Components ⚛,,primary-light
ForwardRef(LinkComponent),840.3999999985099,840.5,Components ⚛,,primary-light
ForwardRef(LinkComponent),840.5,840.5999999996275,Components ⚛,,primary-light
Remaining Effects,867.5999999996275,869.1999999992549,Blocking,Scheduler ⚛,secondary-dark
Blocking Track,0.003,0.003,Blocking,Scheduler ⚛,primary-light
Transition Track,0.003,0.003,Transition,Scheduler ⚛,primary-light
Suspense Track,0.003,0.003,Suspense,Scheduler ⚛,primary-light
Idle Track,0.003,0.003,Idle,Scheduler ⚛,primary-light
Blocked,876.7999999988824,881.0999999996275,Components ⚛,,primary-light
Blocked,886.1999999992549,895.6999999992549,Components ⚛,,primary
Prepared,872.1999999992549,914.5,Idle,Scheduler ⚛,tertiary-dark
img,914.6999999992549,914.7999999988824,Components ⚛,,secondary-light
Commit,914.5,915.0999999996275,Idle,Scheduler ⚛,secondary-dark
Waiting for Paint,915.0999999996275,916,Idle,Scheduler ⚛,secondary-light
HomeContent,872.5,910,Components ⚛,,tertiary
ForwardRef,875,875.5999999996275,Components ⚛,,tertiary-light
ForwardRef,875.3999999985099,875.5999999996275,Components ⚛,,tertiary-light
Logo,875.5999999996275,875.6999999992549,Components ⚛,,tertiary-light
ButtonLink,875.7999999988824,876.0999999996275,Components ⚛,,tertiary-light
ForwardRef(LinkComponent),875.8999999985099,876.0999999996275,Components ⚛,,tertiary-light
ForwardRef(LinkComponent),916.8999999985099,917,Components ⚛,,secondary-light
ButtonLink,876.0999999996275,876.1999999992549,Components ⚛,,tertiary-light
ForwardRef(LinkComponent),876.0999999996275,876.1999999992549,Components ⚛,,tertiary-light
Section,876.1999999992549,883.0999999996275,Components ⚛,,tertiary-light
Center,876.2999999988824,881.1999999992549,Components ⚛,,tertiary-light
Header,876.3999999985099,876.3999999985099,Components ⚛,,tertiary-light
Para,876.3999999985099,881.1999999992549,Components ⚛,,tertiary-light
Code,876.5,876.5999999996275,Components ⚛,,tertiary-light
Code,876.5999999996275,876.5999999996275,Components ⚛,,tertiary-light
Code,876.5999999996275,881.1999999992549,Components ⚛,,tertiary-light
FullBleed,881.1999999992549,883.0999999996275,Components ⚛,,tertiary-light
Example1,881.2999999988824,883.0999999996275,Components ⚛,,tertiary-light
ExampleLayout,881.5999999996275,883.0999999996275,Components ⚛,,tertiary-light
CodeBlockWrapper,881.8999999985099,882.0999999996275,Components ⚛,,tertiary-light
ExamplePanel,882.0999999996275,883.0999999996275,Components ⚛,,tertiary-light
Video,882.1999999992549,883.0999999996275,Components ⚛,,tertiary-light
Thumbnail,882.2999999988824,882.5999999996275,Components ⚛,,tertiary-light
ThumbnailPlaceholder,882.5999999996275,882.5999999996275,Components ⚛,,tertiary-light
LikeButton,882.6999999992549,883.0999999996275,Components ⚛,,tertiary-light
Center,883.0999999996275,883.0999999996275,Components ⚛,,tertiary-light
Para,883.0999999996275,883.0999999996275,Components ⚛,,tertiary-light
Section,883.0999999996275,885.2999999988824,Components ⚛,,tertiary-light
Center,883.0999999996275,883.2999999988824,Components ⚛,,tertiary-light
Header,883.1999999992549,883.2999999988824,Components ⚛,,tertiary-light
Para,883.2999999988824,883.2999999988824,Components ⚛,,tertiary-light
Code,883.2999999988824,883.2999999988824,Components ⚛,,tertiary-light
Code,883.2999999988824,883.2999999988824,Components ⚛,,tertiary-light
FullBleed,883.2999999988824,885.2999999988824,Components ⚛,,tertiary-light
Example2,883.2999999988824,885.2999999988824,Components ⚛,,tertiary-light
ExampleLayout,883.5,885.2999999988824,Components ⚛,,tertiary-light
CodeBlockWrapper,883.5999999996275,883.6999999992549,Components ⚛,,tertiary-light
ExamplePanel,883.6999999992549,885.1999999992549,Components ⚛,,tertiary-light
VideoList,883.7999999988824,885.1999999992549,Components ⚛,,tertiary-light
Video,884,884.3999999985099,Components ⚛,,tertiary-light
Thumbnail,884.0999999996275,884.1999999992549,Components ⚛,,tertiary-light
ThumbnailPlaceholder,884.0999999996275,884.1999999992549,Components ⚛,,tertiary-light
LikeButton,884.1999999992549,884.3999999985099,Components ⚛,,tertiary-light
Video,884.3999999985099,884.7999999988824,Components ⚛,,tertiary-light
Thumbnail,884.5,884.5999999996275,Components ⚛,,tertiary-light
ThumbnailPlaceholder,884.5,884.5999999996275,Components ⚛,,tertiary-light
LikeButton,884.5999999996275,884.7999999988824,Components ⚛,,tertiary-light
Video,884.7999999988824,885.1999999992549,Components ⚛,,tertiary-light
Thumbnail,884.7999999988824,884.8999999985099,Components ⚛,,tertiary-light
ThumbnailPlaceholder,884.8999999985099,884.8999999985099,Components ⚛,,tertiary-light
LikeButton,885,885.1999999992549,Components ⚛,,tertiary-light
Center,885.2999999988824,885.2999999988824,Components ⚛,,tertiary-light
Para,885.2999999988824,885.2999999988824,Components ⚛,,tertiary-light
Section,885.2999999988824,899,Components ⚛,,tertiary-light
Center,885.2999999988824,885.3999999985099,Components ⚛,,tertiary-light
Header,885.2999999988824,885.3999999985099,Components ⚛,,tertiary-light
Para,885.3999999985099,885.3999999985099,Components ⚛,,tertiary-light
FullBleed,885.3999999985099,898.2999999988824,Components ⚛,,tertiary-light
Example3,885.5,898.2999999988824,Components ⚛,,tertiary-light
ExampleLayout,885.6999999992549,898.2999999988824,Components ⚛,,tertiary-light
CodeBlockWrapper,885.7999999988824,885.8999999985099,Components ⚛,,tertiary-light
BrowserChrome,885.8999999985099,898.2999999988824,Components ⚛,,tertiary-light
ExamplePanel,896,898.2999999988824,Components ⚛,,tertiary-light
SearchableVideoList,896.0999999996275,898.2999999988824,Components ⚛,,tertiary-light
SearchInput,896.3999999985099,896.7999999988824,Components ⚛,,tertiary-light
IconSearch,896.6999999992549,896.7999999988824,Components ⚛,,tertiary-light
VideoList,896.7999999988824,898.2999999988824,Components ⚛,,tertiary-light
Video,897,897.3999999985099,Components ⚛,,tertiary-light
Thumbnail,897.0999999996275,897.0999999996275,Components ⚛,,tertiary-light
LikeButton,897.0999999996275,897.3999999985099,Components ⚛,,tertiary-light
Video,897.3999999985099,897.5999999996275,Components ⚛,,tertiary-light
Thumbnail,897.3999999985099,897.3999999985099,Components ⚛,,tertiary-light
LikeButton,897.5,897.5999999996275,Components ⚛,,tertiary-light
Video,897.5999999996275,897.7999999988824,Components ⚛,,tertiary-light
Thumbnail,897.5999999996275,897.6999999992549,Components ⚛,,tertiary-light
